Date,AAPL,MSFT,NFLX,AMZN,GOOGL
01/02/2015,1.096449403,1.085395947,1.074943407,1.072292889,1.046656151
01/03/2015,1.066243365,1.013597801,0.943164325,1.049558571,1.031904099
01/04/2015,1.072413062,1.212528751,1.259619761,1.189687825,1.020872541
01/05/2015,1.116372148,1.168155475,1.412539632,1.210701532,1.014454499
01/06/2015,1.079301934,1.107751528,1.48696246,1.224409824,1.004632219
01/07/2015,1.043764013,1.171733141,1.811158891,1.512283954,1.223142219
01/08/2015,0.970278785,1.091944937,1.822566788,1.446675958,1.205134491
01/09/2015,0.953407217,1.117835024,1.636079739,1.443855258,1.187554676
01/10/2015,1.032929724,1.329481032,1.717202343,1.765435978,1.37176087
01/11/2015,1.022557176,1.372668559,1.954074308,1.875158802,1.419124069
01/12/2015,0.913737233,1.410652902,1.812267985,1.906439471,1.447325876
01/01/2016,0.844985627,1.400736859,1.455138041,1.655713261,1.416333287
01/02/2016,0.839342962,1.29369157,1.480013667,1.558457684,1.334238798
01/03/2016,0.951250354,1.414378704,1.619760156,1.674442216,1.419216876
01/04/2016,0.818150268,1.27711538,1.426459944,1.860463185,1.31686373
01/05/2016,0.871565091,1.357270942,1.625147151,2.038727361,1.393079814
01/06/2016,0.839464314,1.319572164,1.449434214,2.018503321,1.308771375
01/07/2016,0.915068738,1.461664138,1.445789978,2.14032659,1.472123517
01/08/2016,0.931664626,1.481778587,1.544024426,2.169520274,1.469352011
01/09/2016,0.998070234,1.494647079,1.561453224,2.361746676,1.495786484
01/10/2016,1.002396416,1.554848139,1.978474504,2.227794664,1.506650631
01/11/2016,0.975734218,1.563670384,1.853780026,2.117084621,1.443363439
01/12/2016,1.027775254,1.62334723,1.961521136,2.115110185,1.474188691
01/01/2017,1.076848066,1.688918376,2.229447863,2.322737191,1.525793033
01/02/2017,1.215636105,1.671415399,2.251946702,2.38355005,1.571816526
01/03/2017,1.280351793,1.730959342,2.341942061,2.50060648,1.577155792
01/04/2017,1.280262977,1.799293629,2.411498413,2.609059963,1.719877335
01/05/2017,1.361454739,1.835564035,2.583725833,2.805460764,1.836275772
01/06/2017,1.288858916,1.822030367,2.367292996,2.730375581,1.729476449
01/07/2017,1.331008634,1.921682999,2.878270823,2.786167668,1.758906309
01/08/2017,1.467662674,1.976399836,2.768153169,2.765915438,1.777025548
01/09/2017,1.384661179,1.979489051,2.873359137,2.711618327,1.8114036
01/10/2017,1.518707023,2.210416327,3.112290572,3.11759238,1.921756294
01/11/2017,1.543953003,2.236723997,2.972068895,3.319183313,1.927578871
01/12/2017,1.525879709,2.284546672,3.041466891,3.298648958,1.959631747
01/01/2018,1.509649564,2.53746515,4.282706995,4.092432464,2.199274648
01/02/2018,1.606037485,2.504347872,4.616704556,4.266070541,2.053613832
01/03/2018,1.518973177,2.449030103,4.679606342,4.082418897,1.929383328
01/04/2018,1.496159081,2.509404136,4.950701634,4.417482597,1.894856499
01/05/2018,1.691802531,2.652154221,5.570846739,4.596564739,2.046321332
01/06/2018,1.682331038,2.657451785,6.201923949,4.794516683,2.100623364
01/07/2018,1.729408132,2.858761186,5.346650363,5.013511063,2.282987693
01/08/2018,2.068764577,3.027193725,5.825622448,5.677121855,2.29150796
01/09/2018,2.058782906,3.09403098,5.927818207,5.649733677,2.245521448
01/10/2018,1.996035676,2.889511604,4.781484906,4.507404137,2.028797344
01/11/2018,1.628676295,2.999886635,4.533522119,4.767354032,2.064273089
01/12/2018,1.443632123,2.759624821,4.240878364,4.236510591,1.94393092
01/01/2019,1.523253926,2.837329852,5.379130931,4.847911471,2.094484243
01/02/2019,1.584663935,3.043819809,5.673834519,4.625363321,2.095712153
01/03/2019,1.745872774,3.21807777,5.649434202,5.022847189,2.189359418
01/04/2019,1.844402828,3.563515294,5.870937323,5.434011159,2.230416014
01/05/2019,1.609107494,3.374697864,5.439022266,5.00682617,2.058413246
01/06/2019,1.826132556,3.668725224,5.819918742,5.341240835,2.014324283
01/07/2019,1.965639109,3.731988676,5.117541817,5.265506401,2.266208019
01/08/2019,1.925964216,3.775533959,4.654255408,5.010267177,2.214733606
01/09/2019,2.074337113,3.820255056,4.240244458,4.89637006,2.271677215
01/10/2019,2.303933722,3.939509843,4.55380277,5.011310885,2.341735759
01/11/2019,2.47518271,4.159606873,4.985559229,5.079401075,2.425988228
01/12/2019,2.727855613,4.348012128,5.126731766,5.212083637,2.491656566
01/01/2020,2.875186462,4.69348365,5.467700363,5.665867459,2.66538926
01/02/2020,2.539372831,4.466846571,5.847012314,5.313372767,2.491396421
01/03/2020,2.36782823,4.36016544,5.949524785,5.499450117,2.16156639
01/04/2020,2.735727688,4.954569905,6.652218421,6.9782529,2.50525524
01/05/2020,2.960507136,5.066262925,6.650317186,6.889036347,2.666766518
01/06/2020,3.40603942,5.64205483,7.209778453,7.781626249,2.63798745
01/07/2020,3.968485027,5.683640571,7.745948617,8.926409471,2.768021684
01/08/2020,4.819248008,6.25253125,8.390493557,9.733901698,3.031402083
01/09/2020,4.332946315,5.845226414,7.922612173,8.881420294,2.726444368
01/10/2020,4.072918111,5.626792213,7.537754629,8.563873235,3.006436675
01/11/2020,4.454169113,5.949164275,7.774785312,8.935886766,3.263696657
01/12/2020,4.973064173,6.197399147,8.567473823,9.186613299,3.260422707
01/01/2021,4.945705372,6.463217356,8.435333122,9.043522498,3.399423254
01/02/2021,4.544682143,6.474919417,8.537686511,8.724029193,3.761343425
01/03/2021,4.584879086,6.584508071,8.265323407,8.727272649,3.83688987
01/04/2021,4.934328735,7.042799858,8.135558767,9.780329254,4.378197688
01/05/2021,4.677214453,6.972981786,7.966659234,9.091106955,4.384429759
01/06/2021,5.149501122,7.583074068,8.369104174,9.703438349,4.542442636
